Organization Name,Organization Id,Organization Address 1,Organization City,Organization State,Organization Postal Code,Full Address,Applicant County,Latitude,Longitude
The Automotive Free Clinic,2af78b75-0fa4-45e7-ae8a-e8267a27856e,1813 Winona Avenue,Montgomery,AL,36107,"1813 Winona Avenue, Montgomery, AL, 36107",Autauga,32.38308,-86.28276
Faith in Action Alabama,29734c7c-2c3b-4b00-92a3-e2c266d0517f,2100 4th Ave N,Birmingham,AL,35203,"2100 4th Ave N, Birmingham, AL, 35203",Jefferson,33.51832,-86.80584
Transform Alabama,ff1d8912-95be-4414-bb76-720b9ee2d02d,1023 SHADY LANE CIR,TALLADEGA,AL,35160,"1023 SHADY LANE CIR, TALLADEGA, AL, 35160",Talladega,33.42082,-86.10549
Alabama Election Protection Network,fc4eb664-fee4-4454-8a63-aef81e59befb,112 Steele Street,Huntsville,AL,35801,"112 Steele Street, Huntsville, AL, 35801",Madison,34.73477,-86.58173
Alabama Values,73c6db5e-6200-4abf-8379-9768338a14d6,7956 Vaughn Rd PMP# 180,Montgomery,AL,36116,"7956 Vaughn Rd PMP# 180, Montgomery, AL, 36116",Montgomery,32.338605,-86.177769
Soul Seniors of Alabama,86fbd843-e7ef-4207-a505-3ea038c0b643,200 Town Madison Blvd,Madison,AL,35758,"200 Town Madison Blvd, Madison, AL, 35758",Madison,34.6836924,-86.7209032
Harriet Tubman Freedom Fighters Corp.,e8260487-e561-4aec-9bf8-aedef6ee7b55,5310 Lenox Ave Ste 22,Jacksonville,FL,32205,"5310 Lenox Ave Ste 22, Jacksonville, FL, 32205",Duval,30.3321838,-81.655651
"Farmworkers Self-Help, Inc.",9336eb25-81cf-4f86-b6e6-10932617eb49,37240 Lock Street,Dade City,FL,33523,"37240 Lock Street, Dade City, FL, 33523",Pasco ,28.3647248,-82.1959178
WOMEN WORKING TOGETHER USA,ae8f98b6-6112-424e-8030-8f2e11aef8c2,5715 White Hickory Cir,Tamarac,FL,33319,"5715 White Hickory Cir, Tamarac, FL, 33319",Broward,26.2128609,-80.2497707
League of Women Voters of Florida,ab46fae0-f134-4e70-a9a5-0a47ae2c0d09,P.O. Box 1911,Orlando,FL,32801,"P.O. Box 1911, Orlando, FL, 32801",Orange,28.5421109,-81.3790304
"Women of Purpose Global Ministries, Inc.",f03fdaf6-3c7e-4a6d-9934-0c4dfdc20073,1400 Clay Ave SW,Cairo,GA,39828,"1400 Clay Ave SW, Cairo, GA, 39828",Grady,30.8773326,-84.2079425
Newtown Florist Club Inc.,12f0d3b2-98fd-425a-b839-add110408416,1064 Desota Street,GAINESVILLE,GA,30501,"1064 Desota Street, GAINESVILLE, GA, 30501",Hall,34.2978794,-83.8240663
"Vision of Hope Coaching and Mentoring, LLC",25bf30c6-aeab-43c7-afba-d562a1e8311f,1003 Pineview Drive,Valdosta,GA,31602,"1003 Pineview Drive, Valdosta, GA, 31602",Lowndes,30.8327022,-83.2784851
Thy Kingdom Come Ministries,b20611f7-cbdc-4d32-abcb-dbcfa6e77b65,402 Colton Avenue,Thomasville,GA,31792,"402 Colton Avenue, Thomasville, GA, 31792",Thomas,30.8365815,-83.9787808
"AAPI OUTREACH & ENGAGEMENT, LLC",e6900add-ce62-4edc-9957-6c1c9c512a70,11632 DAVENPORT LN,JOHNS CREEK,GA,30005,"11632 DAVENPORT LN, JOHNS CREEK, GA, 30005",Fulton,34.0181557,-84.190196
Georgia Muslim Voter Project,5bc49234-fe62-4a95-9772-b2e20879ce68,5680 Oakbrook Parkway Suite 145,Norcross,GA,30093,"5680 Oakbrook Parkway Suite 145, Norcross, GA, 30093",Gwinnett,33.9412127,-84.2135309
